"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"39691",23,8.832237,2.178408,13,5,5,1,0,1,0,0,0,0,0,1
"39701",15,8.390625,2.127115,5,0,0,1,1,1,0,0,0,0,1,0
"39711",24,8.204166,2.104642,8,5,5,1,1,1,0,0,0,0,1,0
"39721",14,9.153409,2.214126,13,8,8,1,1,1,0,0,0,0,1,0
"39731",5,10.17045,2.319487,18,8,8,1,0,1,0,0,0,0,0,0
"39741",19,12.43056,2.520158,13,8,5,0,1,1,0,0,0,0,1,0
"3975",27,7.271875,1.984014,13,5,5,1,0,1,0,0,0,0,0,0
"3976",30,8.390625,2.127115,13,5,5,1,1,1,0,0,0,0,1,0
"39771",25,7.83125,2.058122,8,5,8,1,0,1,0,0,0,0,0,0
"3978",19,5.507692,1.706146,8,0,5,1,1,1,0,0,0,0,0,0
"3979",39,6.992188,1.944793,8,5,5,1,1,1,0,0,0,0,0,1
"3981",16,10.74,2.373975,13,8,5,0,0,1,0,0,1,0,0,0
"39821",30,8.95,2.191653,8,0,0,1,1,1,0,0,0,0,1,0
"3983",35,9.185527,2.217629,11,5,5,0,0,1,0,0,0,0,0,1
"39841",22,14.91667,2.702479,18,8,8,0,0,1,0,0,0,0,0,1
"3985",24,15.10312,2.714902,13,13,13,1,1,1,0,0,0,0,0,0
"39881",19,11.47436,2.440115,8,0,8,0,1,1,0,0,0,0,0,0
"39891",28,10.59868,2.36073,8,0,0,1,1,1,0,0,0,0,1,0
"39901",28,8.95,2.191653,11,0,0,1,0,1,0,0,0,0,0,0
"39911",8,12.53,2.528126,18,13,13,0,1,1,0,0,0,0,0,0
"39921",40,16.78125,2.820262,8,5,5,1,1,1,0,0,0,0,1,0
"3993",37,48.81818,3.888103,13,5,5,1,1,1,0,0,0,0,1,0
"39941",32,32.31944,3.475669,18,5,5,1,0,1,0,0,0,0,0,1
"39951",30,11.1875,2.414797,11,5,5,1,1,1,0,0,0,0,1,0
"39961",24,5.966667,1.786188,11,5,5,1,0,1,0,0,1,0,1,0
"3997",32,8.136364,2.096343,8,5,5,0,0,1,0,0,0,0,0,0
"39981",32,12.30625,2.510107,13,5,8,1,1,1,0,0,0,0,1,0
"39991",12,5.8175,1.760871,8,5,5,1,0,1,0,0,1,0,1,0
"40001",16,22.375,3.107944,18,18,18,1,1,1,0,0,0,0,1,0
"40011",5,8.055,2.035474,18,5,8,1,1,1,0,0,1,0,0,0
"40021",14,8.95,2.554559,18,18,18,1,0,1,0,0,1,0,0,1
"40031",29,13.67361,2.615468,8,8,8,1,1,0,1,0,0,0,0,1
"40041",10,6.526042,1.875801,8,5,5,1,0,0,1,0,1,0,0,0
"40051",37,13.05208,2.568948,13,5,5,1,1,0,1,0,0,0,0,1
"40071",20,8.390625,2.127115,8,5,5,1,1,0,1,0,0,0,0,1
"40081",17,11.1875,2.414797,16,5,5,1,0,0,1,0,0,0,0,1
"40091",20,9.695833,2.271696,8,5,5,1,1,0,1,0,0,0,1,0
"40111",24,10.50382,2.351739,13,8,8,0,0,0,1,0,0,0,0,0
"4012",40,7.518,2.0173,8,5,5,1,0,0,1,0,0,0,0,0
"4013",35,7.271875,1.984014,8,5,5,1,1,0,1,0,0,0,0,1
"40141",15,7.458333,2.009332,13,13,5,1,0,0,1,0,1,0,0,0
"40151",28,19.57813,2.974413,13,13,5,1,1,0,1,0,0,0,0,0
"40161",29,15.99813,2.772471,13,8,8,0,1,0,1,0,0,0,0,0
"40181",15,11.1875,2.414797,18,5,5,1,1,0,1,0,0,0,0,1
"40191",5,2.486111,0.9107197,18,13,8,1,0,0,1,0,0,0,0,1
"40201",39,21.40217,3.063493,18,13,5,1,1,0,1,0,0,0,0,1
"40211",28,8.95,2.191653,13,8,5,1,0,0,1,0,0,0,0,1
